tick,mid,spread,bid,ask,bid_size,ask_size,qi,micro_edge,volume,position,next_mid,next_up,volume_delta,qi_centered,spread_ticks,micro_edge_ticks
4729,999.95,0.10000000000002274,999.9,1000.0,3400.0,5000.0,0.40476190476190477,-0.009523809523898308,689300.0,300.0,999.95,0,0.0,-0.09523809523809523,10.000000000002274,-0.9523809523898308
4730,999.95,0.10000000000002274,999.9,1000.0,3300.0,4900.0,0.4024390243902439,-0.009756097560966737,689400.0,300.0,999.95,0,100.0,-0.09756097560975607,10.000000000002274,-0.9756097560966737
4731,999.95,0.10000000000002274,999.9,1000.0,3700.0,4500.0,0.45121951219512196,-0.004878048780483368,689800.0,300.0,999.95,0,400.0,-0.04878048780487804,10.000000000002274,-0.48780487804833683
4732,999.95,0.10000000000002274,999.9,1000.0,3300.0,4200.0,0.44,-0.0060000000000854925,689800.0,300.0,999.95,0,0.0,-0.06,10.000000000002274,-0.6000000000085493
4733,999.95,0.10000000000002274,999.9,1000.0,3300.0,4200.0,0.44,-0.0060000000000854925,690000.0,300.0,999.95,0,200.0,-0.06,10.000000000002274,-0.6000000000085493
4734,999.95,0.10000000000002274,999.9,1000.0,3400.0,4200.0,0.4473684210526316,-0.00526315789477394,690000.0,300.0,999.95,0,0.0,-0.05263157894736842,10.000000000002274,-0.526315789477394
4735,999.95,0.10000000000002274,999.9,1000.0,3600.0,4100.0,0.4675324675324675,-0.0032467532467990168,690100.0,300.0,999.95,0,100.0,-0.03246753246753248,10.000000000002274,-0.3246753246799017
4736,999.95,0.10000000000002274,999.9,1000.0,3600.0,4000.0,0.47368421052631576,-0.0026315789474438134,690200.0,300.0,999.95,0,100.0,-0.026315789473684237,10.000000000002274,-0.26315789474438134
4737,999.95,0.10000000000002274,999.9,1000.0,3600.0,3700.0,0.4931506849315068,-0.000684931506839348,690400.0,300.0,999.95,0,200.0,-0.006849315068493178,10.000000000002274,-0.0684931506839348
4738,999.95,0.10000000000002274,999.9,1000.0,3600.0,3900.0,0.48,-0.002000000000066393,690500.0,300.0,999.95,0,100.0,-0.020000000000000018,10.000000000002274,-0.2000000000066393
4739,999.95,0.10000000000002274,999.9,1000.0,3500.0,4000.0,0.4666666666666667,-0.0033333333333303017,690600.0,300.0,999.95,0,100.0,-0.033333333333333326,10.000000000002274,-0.33333333333303017
4740,999.95,0.10000000000002274,999.9,1000.0,3600.0,4000.0,0.47368421052631576,-0.0026315789474438134,690700.0,300.0,999.95,0,100.0,-0.026315789473684237,10.000000000002274,-0.26315789474438134
4741,999.95,0.10000000000002274,999.9,1000.0,3600.0,3700.0,0.4931506849315068,-0.000684931506839348,691200.0,300.0,999.95,0,500.0,-0.006849315068493178,10.000000000002274,-0.0684931506839348
4742,999.95,0.10000000000002274,999.9,1000.0,4100.0,3800.0,0.5189873417721519,0.0018987341771889987,691200.0,300.0,999.95,0,0.0,0.01898734177215189,10.000000000002274,0.18987341771889987
4743,999.95,0.10000000000002274,999.9,1000.0,3900.0,3600.0,0.52,0.0019999999999527063,691300.0,300.0,999.95,0,100.0,0.020000000000000018,10.000000000002274,0.19999999999527063
4744,999.95,0.10000000000002274,999.9,1000.0,3700.0,3600.0,0.5068493150684932,0.000684931506839348,691500.0,300.0,999.95,0,200.0,0.006849315068493178,10.000000000002274,0.0684931506839348
4745,999.95,0.10000000000002274,999.9,1000.0,3800.0,3700.0,0.5066666666666667,0.0006666666665751109,691500.0,300.0,999.95,0,0.0,0.00666666666666671,10.000000000002274,0.06666666665751109
4746,999.95,0.10000000000002274,999.9,1000.0,3800.0,4000.0,0.48717948717948717,-0.0012820512821463126,691500.0,300.0,999.95,0,0.0,-0.01282051282051283,10.000000000002274,-0.12820512821463126
4747,999.95,0.10000000000002274,999.9,1000.0,3800.0,4000.0,0.48717948717948717,-0.0012820512821463126,691500.0,300.0,999.95,0,0.0,-0.01282051282051283,10.000000000002274,-0.12820512821463126
4748,999.95,0.10000000000002274,999.9,1000.0,4000.0,3900.0,0.5063291139240507,0.0006329113923584373,691800.0,300.0,999.95,0,300.0,0.006329113924050667,10.000000000002274,0.06329113923584373
4749,999.95,0.10000000000002274,999.9,1000.0,4300.0,4300.0,0.5,0.0,691800.0,300.0,999.95,0,0.0,0.0,10.000000000002274,0.0
4750,999.95,0.10000000000002274,999.9,1000.0,4000.0,4200.0,0.4878048780487805,-0.001219512195120842,691900.0,300.0,999.95,0,100.0,-0.012195121951219523,10.000000000002274,-0.12195121951208421
4751,999.95,0.10000000000002274,999.9,1000.0,4200.0,4000.0,0.5121951219512195,0.001219512195120842,692000.0,300.0,999.95,0,100.0,0.012195121951219523,10.000000000002274,0.12195121951208421
4752,999.95,0.10000000000002274,999.9,1000.0,4200.0,3800.0,0.525,0.002499999999940883,692200.0,200.0,999.95,0,200.0,0.025000000000000022,10.000000000002274,0.24999999999408828
4753,999.95,0.10000000000002274,999.9,1000.0,4400.0,3900.0,0.5301204819277109,0.003012048192772454,692200.0,200.0,999.95,0,0.0,0.030120481927710885,10.000000000002274,0.3012048192772454
4754,999.95,0.10000000000002274,999.9,1000.0,5000.0,4100.0,0.5494505494505495,0.004945054944982985,692300.0,200.0,999.95,0,100.0,0.0494505494505495,10.000000000002274,0.4945054944982985
4755,999.95,0.10000000000002274,999.9,1000.0,4400.0,4400.0,0.5,0.0,692300.0,200.0,999.95,0,0.0,0.0,10.000000000002274,0.0
4756,999.95,0.10000000000002274,999.9,1000.0,4900.0,4200.0,0.5384615384615384,0.0038461538460978772,692600.0,200.0,999.95,0,300.0,0.038461538461538436,10.000000000002274,0.3846153846097877
4757,999.95,0.10000000000002274,999.9,1000.0,4900.0,4100.0,0.5444444444444444,0.004444444444402507,692700.0,200.0,999.95,0,100.0,0.0444444444444444,10.000000000002274,0.44444444444025066
4758,999.95,0.10000000000002274,999.9,1000.0,4600.0,4400.0,0.5111111111111111,0.001111111111072205,692800.0,200.0,999.95,0,100.0,0.011111111111111072,10.000000000002274,0.1111111111072205
4759,999.95,0.10000000000002274,999.9,1000.0,5200.0,4600.0,0.5306122448979592,0.0030612244897838536,692800.0,200.0,999.95,0,0.0,0.030612244897959218,10.000000000002274,0.30612244897838536
4760,999.95,0.10000000000002274,999.9,1000.0,5100.0,4900.0,0.51,0.0009999999999763531,692900.0,200.0,999.95,0,100.0,0.010000000000000009,10.000000000002274,0.09999999999763531
4761,999.95,0.10000000000002274,999.9,1000.0,5400.0,4900.0,0.5242718446601942,0.0024271844660006536,693000.0,200.0,999.95,0,100.0,0.024271844660194164,10.000000000002274,0.24271844660006536
4762,999.95,0.10000000000002274,999.9,1000.0,5200.0,4600.0,0.5306122448979592,0.0030612244897838536,693300.0,200.0,999.95,0,300.0,0.030612244897959218,10.000000000002274,0.30612244897838536
4763,999.95,0.10000000000002274,999.9,1000.0,4300.0,4400.0,0.4942528735632184,-0.0005747126436972394,693400.0,200.0,999.95,0,100.0,-0.005747126436781602,10.000000000002274,-0.05747126436972394
4764,999.95,0.10000000000002274,999.9,1000.0,4100.0,4400.0,0.4823529411764706,-0.0017647058823513362,693500.0,200.0,999.95,0,100.0,-0.017647058823529405,10.000000000002274,-0.17647058823513362
4765,999.95,0.10000000000002274,999.9,1000.0,4200.0,4500.0,0.4827586206896552,-0.0017241379310917182,693600.0,200.0,999.95,0,100.0,-0.017241379310344807,10.000000000002274,-0.17241379310917182
4766,999.95,0.10000000000002274,999.9,1000.0,4400.0,4800.0,0.4782608695652174,-0.00217391304352077,693700.0,200.0,999.95,0,100.0,-0.021739130434782594,10.000000000002274,-0.21739130435207699
4767,999.95,0.10000000000002274,999.9,1000.0,4800.0,5000.0,0.4897959183673469,-0.0010204081632991802,693700.0,200.0,999.95,0,0.0,-0.010204081632653073,10.000000000002274,-0.10204081632991802
